learner_id,class_id,ability_band,synthetic_ability,data_origin
learner_0001,class_01,weak,-1.8,deterministic_synthetic
learner_0002,class_01,weak,-1.78191,deterministic_synthetic
learner_0003,class_01,weak,-1.763819,deterministic_synthetic
learner_0004,class_01,weak,-1.745729,deterministic_synthetic
learner_0005,class_01,weak,-1.727638,deterministic_synthetic
learner_0006,class_01,weak,-1.709548,deterministic_synthetic
learner_0007,class_01,weak,-1.691457,deterministic_synthetic
learner_0008,class_01,weak,-1.673367,deterministic_synthetic
learner_0009,class_01,weak,-1.655276,deterministic_synthetic
learner_0010,class_01,weak,-1.637186,deterministic_synthetic
learner_0011,class_01,weak,-1.619095,deterministic_synthetic
learner_0012,class_01,weak,-1.601005,deterministic_synthetic
learner_0013,class_01,weak,-1.582915,deterministic_synthetic
learner_0014,class_01,weak,-1.564824,deterministic_synthetic
learner_0015,class_01,weak,-1.546734,deterministic_synthetic
learner_0016,class_01,weak,-1.528643,deterministic_synthetic
learner_0017,class_01,weak,-1.510553,deterministic_synthetic
learner_0018,class_01,weak,-1.492462,deterministic_synthetic
learner_0019,class_01,weak,-1.474372,deterministic_synthetic
learner_0020,class_01,weak,-1.456281,deterministic_synthetic
learner_0021,class_01,weak,-1.438191,deterministic_synthetic
learner_0022,class_01,weak,-1.420101,deterministic_synthetic
learner_0023,class_01,weak,-1.40201,deterministic_synthetic
learner_0024,class_01,weak,-1.38392,deterministic_synthetic
learner_0025,class_01,weak,-1.365829,deterministic_synthetic
learner_0026,class_01,weak,-1.347739,deterministic_synthetic
learner_0027,class_01,weak,-1.329648,deterministic_synthetic
learner_0028,class_01,weak,-1.311558,deterministic_synthetic
learner_0029,class_01,weak,-1.293467,deterministic_synthetic
learner_0030,class_01,weak,-1.275377,deterministic_synthetic
learner_0031,class_01,weak,-1.257286,deterministic_synthetic
learner_0032,class_01,weak,-1.239196,deterministic_synthetic
learner_0033,class_01,weak,-1.221106,deterministic_synthetic
learner_0034,class_01,weak,-1.203015,deterministic_synthetic
learner_0035,class_01,weak,-1.184925,deterministic_synthetic
learner_0036,class_01,weak,-1.166834,deterministic_synthetic
learner_0037,class_01,weak,-1.148744,deterministic_synthetic
learner_0038,class_01,weak,-1.130653,deterministic_synthetic
learner_0039,class_01,weak,-1.112563,deterministic_synthetic
learner_0040,class_01,weak,-1.094472,deterministic_synthetic
learner_0041,class_01,weak,-1.076382,deterministic_synthetic
learner_0042,class_01,weak,-1.058291,deterministic_synthetic
learner_0043,class_01,weak,-1.040201,deterministic_synthetic
learner_0044,class_01,weak,-1.022111,deterministic_synthetic
learner_0045,class_01,weak,-1.00402,deterministic_synthetic
learner_0046,class_01,weak,-0.98593,deterministic_synthetic
learner_0047,class_01,weak,-0.967839,deterministic_synthetic
learner_0048,class_01,weak,-0.949749,deterministic_synthetic
learner_0049,class_01,weak,-0.931658,deterministic_synthetic
learner_0050,class_01,weak,-0.913568,deterministic_synthetic
learner_0051,class_01,weak,-0.895477,deterministic_synthetic
learner_0052,class_01,weak,-0.877387,deterministic_synthetic
learner_0053,class_01,weak,-0.859296,deterministic_synthetic
learner_0054,class_01,weak,-0.841206,deterministic_synthetic
learner_0055,class_01,weak,-0.823116,deterministic_synthetic
learner_0056,class_01,weak,-0.805025,deterministic_synthetic
learner_0057,class_01,weak,-0.786935,deterministic_synthetic
learner_0058,class_01,weak,-0.768844,deterministic_synthetic
learner_0059,class_01,weak,-0.750754,deterministic_synthetic
learner_0060,class_01,weak,-0.732663,deterministic_synthetic
learner_0061,class_01,weak,-0.714573,deterministic_synthetic
learner_0062,class_01,weak,-0.696482,deterministic_synthetic
learner_0063,class_01,weak,-0.678392,deterministic_synthetic
learner_0064,class_01,weak,-0.660302,deterministic_synthetic
learner_0065,class_01,weak,-0.642211,deterministic_synthetic
learner_0066,class_01,weak,-0.624121,deterministic_synthetic
learner_0067,class_01,weak,-0.60603,deterministic_synthetic
learner_0068,class_01,mid,-0.58794,deterministic_synthetic
learner_0069,class_01,mid,-0.569849,deterministic_synthetic
learner_0070,class_01,mid,-0.551759,deterministic_synthetic
learner_0071,class_01,mid,-0.533668,deterministic_synthetic
learner_0072,class_01,mid,-0.515578,deterministic_synthetic
learner_0073,class_01,mid,-0.497487,deterministic_synthetic
learner_0074,class_01,mid,-0.479397,deterministic_synthetic
learner_0075,class_01,mid,-0.461307,deterministic_synthetic
learner_0076,class_01,mid,-0.443216,deterministic_synthetic
learner_0077,class_01,mid,-0.425126,deterministic_synthetic
learner_0078,class_01,mid,-0.407035,deterministic_synthetic
learner_0079,class_01,mid,-0.388945,deterministic_synthetic
learner_0080,class_01,mid,-0.370854,deterministic_synthetic
learner_0081,class_01,mid,-0.352764,deterministic_synthetic
learner_0082,class_01,mid,-0.334673,deterministic_synthetic
learner_0083,class_01,mid,-0.316583,deterministic_synthetic
learner_0084,class_01,mid,-0.298492,deterministic_synthetic
